Nature mutation,Valeur fonciere,Type local,Nombre pieces principales,Surface,Latitude,Longitude
Vente,210000.0,Appartement,2,22.39,48.8851718,2.2928343
Vente,668836.0,Appartement,3,53.9,48.8872263,2.320823
Vente,1787700.0,Appartement,4,104.34,48.8830902,2.2954477
Vente,165000.0,Appartement,2,12.27,48.8729775,2.3264116
Vente,1000.0,Appartement,3,39.0,48.8859253,2.3516141
Vente,255000.0,Appartement,1,22.29,48.8546475,2.3961697
Vente,4000.0,Appartement,3,43.0,48.8859253,2.3516141
Vente,570000.0,Appartement,2,60.83,48.8723059,2.3492103
Vente,771000.0,Appartement,4,92.29,48.8884619,2.3541263
Vente,567000.0,Appartement,3,56.51,48.8733593,2.395882
Vente,692171.0,Appartement,3,65.05,48.8492407,2.408023
Vente,1568000.0,Appartement,5,121.16,48.8775618,2.3517887
Vente,355000.0,Appartement,2,35.0,48.8850824,2.3784131
Vente,220000.0,Appartement,1,23.15,48.8819835,2.3220702
Vente,220000.0,Appartement,1,16.0,48.8819835,2.3220702
Vente,575000.0,Appartement,3,57.0,48.8652848,2.3321301
Vente,685000.0,Appartement,2,61.41,48.8866526,2.3475108
Vente,125000.0,Appartement,1,9.21,48.8860162,2.3100297
Vente,335000.0,Appartement,2,35.46,48.8725291,2.388747
Vente,491000.0,Appartement,2,43.88,48.8900921,2.3381139
Vente,485000.0,Appartement,2,51.51,48.8796316,2.3045849
Vente,1049636.0,Appartement,4,73.01,48.8889141,2.3177662
Vente,600000.0,Appartement,3,76.46,48.8539861,2.3622411
Vente,550000.0,Appartement,3,65.01,48.8947117,2.3497335
Vente,367950.0,Appartement,2,34.47,48.8692209,2.4028694
Vente,558370.0,Appartement,2,51.32,48.8501099,2.4015807
Vente,571550.0,Appartement,3,49.16,48.8838143,2.3273344
Vente,244000.0,Appartement,2,36.07,48.8721942,2.3712313
Vente,812132.0,Appartement,2,59.5,48.8820942,2.3326884
Vente,250000.0,Appartement,1,32.0,48.8723076,2.3253001
Vente,60000.0,Appartement,1,6.41,48.8730094,2.3561079
Vente,393000.0,Appartement,2,43.24,48.888696,2.374742
Vente,285000.0,Appartement,2,19.92,48.8523876,2.3659036
Vente,200000.0,Appartement,1,19.54,48.8811528,2.3532488
Vente,262000.0,Appartement,1,25.55,48.8942699,2.3225346
Vente,467600.0,Appartement,2,38.68,48.8834672,2.3406883
Vente,205000.0,Appartement,1,21.8,48.8957249,2.342436
Vente,458180.0,Appartement,2,33.0,48.8558183,2.3637642
Vente,217100.0,Appartement,1,18.91,48.886187,2.3150755
Vente,315000.0,Appartement,1,25.79,48.8899661,2.3176151
Vente,790500.0,Appartement,4,65.42,48.8855425,2.3258379
Vente,472500.0,Appartement,1,34.86,48.8807778,2.3061946
Vente,720000.0,Appartement,4,65.12,48.8889791,2.3236664
Vente,335000.0,Appartement,2,29.89,48.8839856,2.3175138
Vente,400000.0,Appartement,2,42.44,48.8835281,2.3650025
Vente,330000.0,Appartement,1,30.86,48.8938905,2.337981
Vente,707000.0,Appartement,2,64.03,48.8728699,2.3564632
Vente,643000.0,Appartement,3,59.8,48.8771522,2.3894736
Vente,427950.0,Appartement,2,39.4,48.8899013,2.324704
Vente,294500.0,Appartement,1,29.7,48.8884918,2.3817618
Vente,536000.0,Appartement,2,48.0,48.8928698,2.3194474
Vente,205000.0,Appartement,2,27.19,48.8886656,2.3548822
Vente,490000.0,Appartement,2,30.95,48.8654361,2.3362119
Vente,675000.0,Appartement,3,70.0,48.8892409,2.3175697
Vente,308000.0,Appartement,1,23.49,48.8780599,2.3022829
Vente,155100.0,Appartement,1,15.47,48.867512,2.405473
Vente,300000.0,Appartement,1,35.06,48.8933373,2.3335483
Vente,71000.0,Appartement,1,7.92,48.8738685,2.3886117
Vente,79000.0,Appartement,1,8.13,48.8650284,2.33494
Vente,324230.0,Appartement,2,32.32,48.8903218,2.3478837
Vente,367800.0,Appartement,2,42.6,48.892083,2.37537
Vente,613500.0,Appartement,3,48.54,48.8846606,2.3244908
Vente,1200000.0,Appartement,5,125.05,48.8866001,2.2908975
Vente,710000.0,Appartement,3,71.7,48.8690309,2.4079095
Vente,864550.0,Appartement,4,72.1,48.8755821,2.3267453
Vente,305000.0,Appartement,2,31.94,48.8671776,2.3992731
Vente,565000.0,Appartement,5,63.86,48.8843751,2.3815927
