Adresse,location,Latitude,Longitude
11 RUE JEAN MERMOZ 75008 PARIS FRANCE,"11, Rue Jean Mermoz, Quartier du Faubourg-du-Roule, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",48.8708981,2.3114832
12 RUE DE SAINTONGE 75003 PARIS FRANCE,"12, Rue de Saintonge, Quartier des Enfants-Rouges, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8615449,2.3622739
6 RUE ANDRE ANTOINE 75018 PARIS FRANCE,"Club 68, 6, Rue André Antoine, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8829101,2.3375152
79 RUE VIEILLE DU TEMPLE 75003 PARIS FRANCE,"79, Rue Vieille du Temple, Quartier des Archives, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8591334,2.3593898
15 RUE DU POTEAU 75018 PARIS FRANCE,"Les Pirates de Montmartre - La Cuisine, 15, Rue du Poteau, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8933911,2.3424474
4 RUE JEAN COTTIN 75018 PARIS FRANCE,"4, Rue Jean Cottin, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.893499,2.3615578
2 CITE ADRIENNE 75020 PARIS FRANCE,"Cité Adrienne, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8585883,2.4012072
13 RUE M. ELEONORE DE BELLEFOND 75009 PARIS FRANCE,,,
30 RUE CAVENDISH 75019 PARIS FRANCE,"Rue Cavendish, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8826716,2.3802416
6 IMP DE LA DEFENSE 75018 PARIS FRANCE,"Le BAL, 6, Impasse de la Défense, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.885261799999995,2.327354999299839
200 RUE CHAMPIONNET 75018 PARIS FRANCE,"200, Rue Championnet, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8940306,2.3315222
29 RUE ETIENNE DOLET 75020 PARIS FRANCE,"29, Rue Étienne Dolet, Quartier de Belleville, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.868052,2.3850172
23 RUE DES MARTYRS 75009 PARIS FRANCE,"La Poularde Saint-Honoré, 23, Rue des Martyrs, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8782417,2.3395298
99 RUE ORFILA 75020 PARIS FRANCE,"99, Rue Orfila, Quartier du Père-Lachaise, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8682234,2.400601
10 RUE DE TRACY 75002 PARIS FRANCE,"10, Rue de Tracy, Quartier de Bonne-Nouvelle, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",48.868086,2.3526316
89 RUE TRUFFAUT 75017 PARIS FRANCE,"89, Rue Truffaut, Quartier des Batignolles, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8887664,2.316564
57 RUE DES EPINETTES 75017 PARIS FRANCE,"57, Rue des Épinettes, Quartier des Épinettes, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.896976,2.3238197
8 RUE FRANCIS CARCO 75018 PARIS FRANCE,"8, Rue Francis Carco, Quartier de la Goutte-d'Or, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8891791,2.356252
10 RUE DU DOBROPOL 75017 PARIS FRANCE,"10, Rue du Dobropol, Quartier des Ternes, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8831205,2.285888
36 RUE LETORT 75018 PARIS FRANCE,"36, Rue Letort, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8956612,2.3434615
